percentile_bin,n_pages,n_pairs,mean_similarity,median_similarity,std_similarity
0-10%,523,136503,0.0012136366660641439,0.0,0.0025404973857940925
10-20%,21,210,0.0009341195613473749,0.0,0.0027715554153380424
20-30%,36,630,0.0005797039449955786,0.0,0.0014893157779431304
30-40%,54,1431,0.0007764261653600005,0.0,0.0012975513248960832
40-50%,277,38226,0.0007298591988555606,0.0,0.0016639702268466548
50-60%,335,55945,0.0006600486348978742,0.0,0.0011991299327554358
60-70%,46,1035,0.0007209356707543696,0.0,0.0013579679639918374
70-80%,71,2485,0.0007684086943497185,0.0,0.001239476502470769
80-90%,72,2556,0.0008981073290804614,0.0004798465596222014,0.0012528814212969235
90-100%,605,182710,0.0032985934042890934,0.002243799500887744,0.006347346061989018
