group_name,n_pages,n_pairs,mean_similarity,median_similarity,std_similarity,min_similarity,max_similarity,q25_similarity,q75_similarity
bottom_pagerank,500,124750,0.0012692696056740994,0.0,0.002614345968340916,0.0,0.36082474226804123,0.0,0.002325581395348837
category_biology,10,45,0.0014825228127970788,0.0011350737797956867,0.0014864858854421446,0.0,0.007524454477050414,0.0005305039787798408,0.0019969458475273113
category_computer_science,7,21,0.002506593825754904,0.0009233610341643582,0.003627148540263084,0.0,0.015519705942413723,0.0004830917874396135,0.0033030553261767133
category_history,8,28,0.004616920675747967,0.0043449683549305375,0.0019610721360711213,0.0015719151165837044,0.008980565494983512,0.003547251120917815,0.005371962330269836
category_mathematics,2,1,0.004313000616142945,0.004313000616142945,,0.004313000616142945,0.004313000616142945,0.004313000616142945,0.004313000616142945
category_philosophy,4,6,0.0037251351687845186,0.0010806270089993985,0.005130025577583155,0.0,0.012612835414863362,0.0003606931513331415,0.005862161538050272
category_physics,9,36,0.0013898529817980123,0.0007481209543589791,0.0016395269066112484,0.0,0.007137628111273792,0.0002821670428893905,0.001912161098650297
median_pagerank,500,124750,0.0007001213410045845,0.0,0.0015690680998227632,0.0,0.24148606811145512,0.0,0.0011001100110011
random,500,124750,0.0007686275301722746,0.0,0.001601347893883758,0.0,0.1548076923076923,0.0,0.0012254901960784314
top_pagerank,500,124750,0.004164070862198459,0.0032478543422442296,0.00398125643889659,0.0,0.30704225352112674,0.0015637349472653263,0.0057094155118161405
